subid,blockid,difference.in.rt.aa,mean.difference.in.rt,mean.absolute.difference.in.rt,rt_ratio,mean.difference.in.moral.score,mean.absolute.difference.in.moral.score,bias_ratio
16,0,0.04216379999888886,0.4118240999990424,0.41936063333378115,0.6666666666666666,0.04844006568144495,0.04844006568144495,1
13,0,-0.21775449999995544,-0.2771388000002541,0.2771388000002541,0.0,0.04844006568144495,0.04844006568144495,1
28,0,-0.7241483999996488,-0.7144512999993818,0.7144512999993818,0.0,0.04844006568144495,0.04844006568144495,1
21,0,-2.0037787000001117,-2.0212368000002243,2.0212368000002243,0.0,0.04844006568144495,0.04844006568144495,1
15,0,-0.09517280000090983,0.33699399999962526,0.35337366666650877,0.6666666666666666,0.04844006568144495,0.04844006568144495,1
4,22,0.09745520000001306,0.011774475000095201,0.02221582500004616,0.75,-0.07573891625615764,0.07820197044334976,0.08333333333333333
29,22,-0.6793325999997252,-0.6714731500001109,0.6714731500001109,0.0,-0.07573891625615764,0.07820197044334976,0.08333333333333333
1,22,0.028263900000638387,-0.010716674999457616,0.03722872499974981,0.25,-0.07573891625615764,0.07820197044334976,0.08333333333333333
11,22,-0.043738099999927726,-0.0018499250000445638,0.017569025000000224,0.75,-0.07573891625615764,0.07820197044334976,0.08333333333333333
3,22,-0.08557440000004132,-0.18363280000011173,0.18363280000011173,0.0,-0.07573891625615764,0.07820197044334976,0.08333333333333333
6,22,3.0225024999999732,0.6307706249990588,0.7631962750001549,0.25,-0.07573891625615764,0.07820197044334976,0.08333333333333333
22,22,-0.9797475999994278,-0.009545299999900059,0.7423426999998809,0.25,-0.07573891625615764,0.07820197044334976,0.08333333333333333
25,22,0.04909040000006826,0.2836259000001178,0.3109307500000682,0.75,-0.07573891625615764,0.07820197044334976,0.08333333333333333
24,22,-0.11384039999984451,-0.014556924999624247,0.03766562499981774,0.25,-0.07573891625615764,0.07820197044334976,0.08333333333333333
10,22,-0.3676188999961596,-0.3040759750001598,0.4085815750004258,0.08333333333333333,-0.07573891625615764,0.07820197044334976,0.08333333333333333
17,22,0.08151459999999144,0.2939251999999898,0.3102058499999885,0.75,-0.07573891625615764,0.07820197044334976,0.08333333333333333
14,22,0.00892140000019026,0.5369411500001319,0.5595026500000698,0.25,-0.07573891625615764,0.07820197044334976,0.08333333333333333
23,22,-0.2497392000000218,-0.2960407500000315,0.2960407500000315,0.0,-0.07573891625615764,0.07820197044334976,0.08333333333333333
8,22,-0.0717160999997759,0.27547580000020844,0.2850889000001189,0.75,-0.07573891625615764,0.07820197044334976,0.08333333333333333
26,22,0.060292199999821605,0.061640699999770746,0.06583829999999581,0.75,-0.07573891625615764,0.07820197044334976,0.08333333333333333
20,22,-0.07185739999931684,-0.02601077499957681,0.042752974999757484,0.08333333333333333,-0.07573891625615764,0.07820197044334976,0.08333333333333333
19,22,-1.4423353000001955,-1.3271470500001217,1.3271470500001217,0.0,-0.07573891625615764,0.07820197044334976,0.08333333333333333
5,22,-0.013518900000235534,-0.003397075000066231,0.04570852500000911,0.08333333333333333,-0.07573891625615764,0.07820197044334976,0.08333333333333333
2,22,0.012648100000660634,0.011876850000589897,0.03847774999940158,0.25,-0.07573891625615764,0.07820197044334976,0.08333333333333333
27,22,1.6266063000000486,0.09282917499996302,0.7047120249999921,0.08333333333333333,-0.07573891625615764,0.07820197044334976,0.08333333333333333
7,22,-0.06329289999848686,0.024208050001561843,0.13006730000006428,0.25,-0.07573891625615764,0.07820197044334976,0.08333333333333333
12,22,0.002313299999968821,0.2912135249999323,0.2912135249999323,1,-0.07573891625615764,0.07820197044334976,0.08333333333333333
16,22,-0.037841800000023795,9.557499970472283e-05,0.06694587500032867,0.08333333333333333,-0.07573891625615764,0.07820197044334976,0.08333333333333333
13,22,-0.033219500000086555,0.3371430499996677,0.34260189999986324,0.75,-0.07573891625615764,0.07820197044334976,0.08333333333333333
28,22,-0.25249910000002274,-0.2619139750006525,0.2619139750006525,0.0,-0.07573891625615764,0.07820197044334976,0.08333333333333333
21,22,-0.2537873999999647,0.029763400000092602,0.0829769999998007,0.25,-0.07573891625615764,0.07820197044334976,0.08333333333333333
15,22,-0.05583420000039038,-0.011068774999785126,0.08521732500003051,0.75,-0.07573891625615764,0.07820197044334976,0.08333333333333333
29,17,0.032468399999743214,-0.03107173333349546,0.03690633333341492,0.16666666666666666,-0.21633825944170773,0.2623152709359606,0.6666666666666666
1,17,-0.020948499999576597,-0.019048566665636202,0.03107596666571527,0.16666666666666666,-0.21633825944170773,0.2623152709359606,0.6666666666666666
11,17,-0.4596827000000303,-0.293403433333386,0.293403433333386,0.0,-0.21633825944170773,0.2623152709359606,0.6666666666666666
